video_id,file,target,region_hint,position_label,frequency_label,issue_label
3852,IMG_3852.MOV,A,arm,correct,correct,
3854,IMG_3854.MOV,A,arm,correct,fast,
3855,IMG_3855.MOV,A,arm,correct,unstable,
3856,IMG_3856.MOV,A,arm,incorrect,,
3857,IMG_3857.MOV,A,arm,incorrect,,orientation_wrong
3858,IMG_3858.MOV,A,arm,correct,correct,
3859,IMG_3859.MOV,A,arm,correct,fast,
3860,IMG_3860.MOV,A,arm,correct,unstable,
3861,IMG_3861.MOV,A,arm,incorrect,,
3862,IMG_3862.MOV,A,arm,incorrect,,orientation_wrong
3863,IMG_3863.MOV,A,arm,,,pressing_hand_out_of_frame
3864,IMG_3864.MOV,A,arm,,,pressing_hand_absent
3865,IMG_3865.MOV,B,palm,correct,correct,
3866,IMG_3866.MOV,B,palm,correct,fast,
3867,IMG_3867.MOV,B,palm,correct,unstable,
3868,IMG_3868.MOV,B,palm,incorrect,,
3869,IMG_3869.MOV,B,palm,incorrect,,orientation_wrong
3870,IMG_3870.MOV,B,palm,correct,correct,
3871,IMG_3871.MOV,B,palm,correct,fast,
3872,IMG_3872.MOV,B,palm,correct,unstable,
3873,IMG_3873.MOV,B,palm,incorrect,,
3874,IMG_3874.MOV,B,palm,incorrect,,orientation_wrong
3875,IMG_3875.MOV,B,palm,,,pressing_hand_out_of_frame
3876,IMG_3876.MOV,B,palm,,,pressing_hand_absent
